entity_type,sku_code,source_note,warehouse_code,location_code,status,candidate_count
inventory_transaction,RM-99002,RC260329-00001,WH-DRILL-A,LOC-DRILL-A01,active,4
inventory_transaction,RM-00301,RC260326-00001,WH-DRILL-A,LOC-DRILL-A01,active,2
inventory,FG-00010,migration:default-location,WH-DRILL-A,LOC-DRILL-A01,active,1
inventory,RM-00012,migration:default-location,WH-DRILL-A,LOC-DRILL-A01,active,1
inventory,RM-00013,migration:default-location,WH-DRILL-A,LOC-DRILL-A01,active,1
inventory,RM-00014,migration:default-location,WH-DRILL-A,LOC-DRILL-A01,active,1
inventory,RM-00102,migration:default-location,WH-DRILL-A,LOC-DRILL-A01,active,1
inventory,RM-00150,migration:default-location,WH-DRILL-A,LOC-DRILL-A01,active,1
inventory,RM-00151,migration:default-location,WH-DRILL-A,LOC-DRILL-A01,active,1
inventory,RM-00201,migration:default-location,WH-DRILL-A,LOC-DRILL-A01,active,1
inventory,RM-00202,migration:default-location,WH-DRILL-A,LOC-DRILL-A01,active,1
inventory,RM-00300,migration:default-location,WH-DRILL-A,LOC-DRILL-A01,active,1
inventory,RM-00301,migration:default-location,WH-DRILL-A,LOC-DRILL-A01,active,1
inventory,RM-99002,migration:default-location,WH-DRILL-A,LOC-DRILL-A01,active,1
inventory,WIP-00021,migration:default-location,WH-DRILL-A,LOC-DRILL-A01,active,1
inventory,WIP-00023,migration:default-location,WH-DRILL-A,LOC-DRILL-A01,active,1
inventory_transaction,FG-00010,DL17752072340457798,WH-DRILL-A,LOC-DRILL-A01,active,1
inventory_transaction,FG-00010,WO260329-00002,WH-DRILL-A,LOC-DRILL-A01,active,1
inventory_transaction,RM-00102,RC260327-00001,WH-DRILL-A,LOC-DRILL-A01,active,1
inventory_transaction,RM-00102,RC260327-00003,WH-DRILL-A,LOC-DRILL-A01,active,1
inventory_transaction,RM-00102,RC260327-00004,WH-DRILL-A,LOC-DRILL-A01,active,1
inventory_transaction,RM-00102,RC260329-00001,WH-DRILL-A,LOC-DRILL-A01,active,1
inventory_transaction,RM-00150,RC260327-00002,WH-DRILL-A,LOC-DRILL-A01,active,1
inventory_transaction,RM-00150,RC260327-00003,WH-DRILL-A,LOC-DRILL-A01,active,1
inventory_transaction,RM-00150,RC260329-00001,WH-DRILL-A,LOC-DRILL-A01,active,1
inventory_transaction,RM-00151,RC260327-00002,WH-DRILL-A,LOC-DRILL-A01,active,1
inventory_transaction,RM-00151,RC260327-00003,WH-DRILL-A,LOC-DRILL-A01,active,1
inventory_transaction,RM-00151,RC260327-00007,WH-DRILL-A,LOC-DRILL-A01,active,1
inventory_transaction,RM-00151,RC260329-00001,WH-DRILL-A,LOC-DRILL-A01,active,1
inventory_transaction,RM-00202,RC260327-00002,WH-DRILL-A,LOC-DRILL-A01,active,1
inventory_transaction,RM-00202,RC260327-00003,WH-DRILL-A,LOC-DRILL-A01,active,1
inventory_transaction,RM-00202,RC260329-00001,WH-DRILL-A,LOC-DRILL-A01,active,1
inventory_transaction,RM-00300,RC260327-00002,WH-DRILL-A,LOC-DRILL-A01,active,1
inventory_transaction,RM-00300,RC260327-00003,WH-DRILL-A,LOC-DRILL-A01,active,1
inventory_transaction,RM-00300,RC260329-00001,WH-DRILL-A,LOC-DRILL-A01,active,1
inventory_transaction,RM-00301,migration:default-location,WH-DRILL-A,LOC-DRILL-A01,active,1
inventory_transaction,RM-00301,RC260326-00003,WH-DRILL-A,LOC-DRILL-A01,active,1
inventory_transaction,RM-00301,RC260326-00004,WH-DRILL-A,LOC-DRILL-A01,active,1
inventory_transaction,RM-00301,RC260327-00005,WH-DRILL-A,LOC-DRILL-A01,active,1
inventory_transaction,RM-99002,RC260327-00002,WH-DRILL-A,LOC-DRILL-A01,active,1
inventory_transaction,RM-99002,RC260327-00003,WH-DRILL-A,LOC-DRILL-A01,active,1
inventory_transaction,RM-99002,RC260327-00006,WH-DRILL-A,LOC-DRILL-A01,active,1
inventory_transaction,RM-99002,RC260327-00008,WH-DRILL-A,LOC-DRILL-A01,active,1
inventory_transaction,WIP-00021,全流程回归测试-采购入库,WH-DRILL-A,LOC-DRILL-A01,active,1
inventory_transaction,WIP-00023,全流程回归测试-采购入库,WH-DRILL-A,LOC-DRILL-A01,active,1
